spark.default.parallelism,spark.executor.instances,spark.executor.cores,runtime
324.0,6.0,3.0,228.18973999999992
272.0,6.0,3.0,232.10119999999998
329.0,6.0,3.0,228.18973999999992
311.0,6.0,4.0,229.7587600000002
327.0,7.0,4.0,230.51897999999986
313.0,7.0,4.0,233.76741000000013
295.0,7.0,3.0,233.48830999999987
324.0,6.0,4.0,228.18973999999992
329.0,6.0,3.0,228.18973999999992
332.0,7.0,3.0,230.51984999999985
