spark.executor.cores,spark.executor.instances,spark.scheduler.revive.interval,spark.executor.memoryOverhead,runtime
3.0,6.0,597.0,674.0,183.1790313720703
3.5475268973918572,6.0,682.5882981721068,674.2372963078242,176.2726287841797
3.9676113108351507,6.020583450759981,804.9357176985775,671.795020918116,176.27288818359375
3.8701509399963063,5.919120048883409,942.5707765110717,668.0510215544448,176.27288818359375
3.9979698897002898,6.256260839574958,811.221547821841,667.951236217418,176.27288818359375
3.910470475117285,5.811366690749894,977.8183260107714,668.0383351039654,176.27288818359375
3.998884240099234,6.9483622583642415,850.2134519722092,672.1310459720071,176.27288818359375
3.615053460744753,4.0,939.175116287203,668.0197324356741,176.27288818359375
3.9938833635217623,6.2568280039332445,932.8433694758901,668.533150143935,176.27288818359375
3.9953223735024848,4.0,783.7336779392533,668.8964024985826,176.27288818359375
