spark.executor.cores,spark.scheduler.revive.interval,runtime
2.0,548.0,169.97366000000008
1.0,930.5436999975491,169.97366000000008
4.0,536.4182878372703,169.97366000000008
1.0,708.0769510671981,169.97366000000008
2.521499688071366,517.8090914293361,169.97366000000008
1.4476712054160434,537.3276016020733,169.97366000000008
3.893230808126906,594.0826082327492,169.97366000000008
2.769484464105257,506.4749157345501,169.97366000000008
4.0,500.0,169.97366000000008
1.1524882188929637,573.6039612330303,169.97366000000008
