spark.executor.cores,spark.scheduler.revive.interval,runtime
2.0,548.0,171.29599000000005
3.5518032601193985,1000.0,171.29599000000005
1.676570424121649,500.0,171.29599000000005
1.599881608541178,1000.0,171.29599000000005
1.8874082603228912,999.6638327402779,171.29599000000005
2.1098166323318575,957.6297001359713,171.29599000000005
1.7085194121525455,974.5538231236585,171.29599000000005
2.827328616936547,506.06098878457834,171.29599000000005
1.0852082226331643,505.72284386351765,171.29599000000005
3.9450036523322596,957.9745210066494,171.29599000000005
