spark.executor.memory,spark.broadcast.compress,spark.executor.instances,spark.default.parallelism,spark.kryoserializer.buffer,runtime
7.0,1.0,4.0,227.0,107.0,254.94876098632812
5.9998208409204,0.9508403793553278,4.232122868836955,493.25374778020563,127.45714416304395,254.94876098632812
4.538651050844171,0.6835079562208496,4.0,500.0,114.46823092024997,254.94876098632812
3.8455552322273667,1.0,4.135571928418504,499.19281344798463,121.8665697082322,254.94876098632812
6.429617146613037,1.0,4.703388875340048,399.72918621738,115.88721779093132,254.94876098632812
6.127408848224367,0.046677399870138414,4.027198005823725,500.0,128.0,254.94876098632812
3.207473890259238,1.0,4.057964344727166,200.15766877846488,101.48668653898112,254.94876098632812
6.94979703897773,0.20367249752325955,4.0,500.0,93.33782608811525,254.94876098632812
6.152503535743818,0.3548383708442077,4.0,200.0,109.80592510048717,254.94876098632812
4.215547123427928,0.672723723623558,4.511232661820887,431.6841861635743,32.0,254.94876098632812
