spark.executor.instances,spark.executor.cores,spark.executor.memory,runtime
8.0,4.0,7.0,241.35890909090912
8.0,4.0,7.0,241.35890909090912
7.953171962014198,3.978138484413761,7.0,241.35890909090912
8.0,3.8116448367987075,6.995549816337555,241.35890909090912
8.0,3.546350951121001,7.0,241.35890909090912
8.0,3.5767790960810877,6.987019416725097,241.35890909090912
8.0,4.0,6.667983701164295,241.35890909090912
8.0,3.72028275920769,6.9798170879421075,241.35890909090912
7.610977372439732,4.0,6.239874719151562,241.35890909090912
8.0,3.9865334064994866,4.702991470919972,241.35890909090912
