spark.default.parallelism,spark.executor.instances,spark.executor.cores,runtime
325.0,6.0,3.0,228.18973999999992
328.472923005768,5.967541559851956,3.4784240857432636,228.18973999999992
332.4084118180703,5.710913755243723,2.9808017448349404,227.91101999999992
328.01462061667263,5.711600907150286,2.6499932826365704,228.18973999999992
320.54673768996213,5.88270056289384,2.970208515812203,228.18973999999992
320.5459971775993,5.893144208364872,2.9837810999952845,228.18973999999992
326.61466519017574,5.877050127647669,3.903223676195553,228.18973999999992
308.3186319618752,5.544185582334428,3.0367360735830338,227.7368799999999
320.4000382889088,6.484134751965254,3.5519745509955714,228.18973999999992
309.394963401195,5.818067042845255,3.683582319878104,229.57903000000022
