spark.default.parallelism,spark.kryoserializer.buffer.max,spark.maxRemoteBlockSizeFetchToMem,runtime
308.0,36.0,1999483127.0,231.5594516628031
257.5106825171556,68.12656398548637,1790050979.2905688,228.83890852248325
304.01335786679624,67.80234285810427,1857636714.8541908,230.07406928978054
303.02963798639456,54.52426295144794,1803058402.2876515,220.3017065682238
241.02612597930656,93.63117631906448,1802853459.2831511,229.29947930357392
286.1298489259552,35.62636581168018,1850635524.2668424,227.54424900967302
328.20377542558043,50.21021583372568,1803559879.5497308,222.17698899384052
310.44269056783855,39.90338942682687,1801179623.2670507,216.63595098241467
310.44269056783855,35.755223833512744,1801179623.2670507,216.63595098241467
311.81403079639074,35.491676012169215,1818387982.726088,217.3876245498541
