spark.executor.cores,spark.executor.instances,runtime
3.0,6.0,255.69758160909018
2.0,8.0,255.69758160909018
2.9306649920013568,6.409667152451907,255.69758160909018
1.1327004738227289,8.0,255.69758160909018
2.082275425628611,4.881637798910282,255.69758160909018
1.5889009279231137,7.422014040193934,255.69758160909018
1.967736700767815,8.0,255.69758160909018
2.9790787794527183,6.326768539794804,255.69758160909018
2.0850147994742296,6.699434854003766,255.69758160909018
1.4797981992879707,7.392650806720037,255.69758160909018
