spark.executor.cores,spark.executor.memory,spark.executor.instances,runtime
2.0,5.0,8.0,214.25983695389343
2.779451945087761,5.0,7.957503828176762,213.6132442426741
3.2528655842547214,4.842611656835981,8.0,213.6132442426741
3.18977900280554,4.99018314655647,8.0,213.6132442426741
3.384954982778607,4.889397451007396,8.0,213.6132442426741
2.9256935829577406,5.017074960679996,8.0,213.6132442426741
3.989890084159615,5.457804632947232,7.993024365272559,213.6132442426741
3.9948472739066854,4.53256471484065,8.0,213.6132442426741
3.9645947000594624,4.825336493280662,8.0,213.6132442426741
3.326155474879106,4.931473387338178,8.0,213.6132442426741
