spark.executor.memory,spark.executor.cores,spark.executor.instances,runtime
5.0,2.0,8.0,211.8116
4.736964844626968,3.8282075183825643,8.0,211.62390909090908
6.457985512606868,2.9031678760590713,8.0,210.6008
6.442944536185518,3.7318266281561745,8.0,210.6008
6.442944536185518,3.7318266281561745,8.0,210.6008
6.552085112671442,3.145651849961313,7.810734009018405,210.6008
6.832967195045997,3.872633211795287,8.0,210.6008
7.0,3.8025027511595795,8.0,210.6008
6.824929207117528,4.0,8.0,210.6008
7.0,3.950774418830339,8.0,210.6008
