spark.executor.cores,spark.executor.instances,spark.scheduler.revive.interval,spark.executor.memoryOverhead,runtime
3.0,7.0,603.0,674.0,183.1790313720703
4.0,5.0,831.0,673.0,176.2726287841797
4.0,7.0,534.0,662.0,176.27288818359375
4.0,5.0,705.0,673.0,176.2726287841797
4.0,8.0,518.0,673.0,176.2726287841797
4.0,7.0,838.0,673.0,176.2726287841797
4.0,7.0,925.0,673.0,176.2726287841797
4.0,6.0,767.0,673.0,176.2726287841797
4.0,5.0,712.0,673.0,176.2726287841797
4.0,7.0,563.0,673.0,176.2726287841797
