spark.executor.cores,spark.scheduler.revive.interval,runtime
2.0,533.0,169.97366000000008
1.0,562.0,169.97366000000008
2.0,893.0,169.97366000000008
3.0,976.0,169.97366000000008
2.0,635.0,169.97366000000008
3.0,867.0,169.97366000000008
1.0,890.0,169.97366000000008
4.0,684.0,169.97366000000008
2.0,955.0,169.97366000000008
4.0,848.0,169.97366000000008
